Date,Bills2,Central bank liquidity swaps8,Federal agency debt securities2,Float,Foreign currency denominated assets10,Foreign official,Gold stock,Inflation compensation3,Loans,Money Market Mutual Fund Liquidity Facility,Mortgage-backed securities4,Net portfolio holdings of Commercial Paper Funding Facility II LLC7,Net portfolio holdings of Corporate Credit Facilities LLC7,Net portfolio holdings of Corporate Credit Facility LLC7,Net portfolio holdings of MS Facilities LLC (Main Street Lending Program)7,Net portfolio holdings of Maiden Lane LLC7,Net portfolio holdings of Municipal Liquidity Facility LLC7,Net portfolio holdings of TALF II LLC7,"Notes and bonds, inflation-indexed2","Notes and bonds, nominal2",Other Federal Reserve assets9,Other credit extensions,Others,Paycheck Protection Program Liquidity Facility,Primary Dealer Credit Facility,Primary credit,Repurchase agreements6,Reserve Bank credit,Seasonal credit,Secondary credit,Securities held outright1,Special drawing rights certificate account,Total factors supplying reserve funds,Treasury currency outstanding11,U.S. Treasury securities,Unamortized discounts on securities held outright5,Unamortized premiums on securities held outright5
2020-02-13,258038,55,2347,-102,20310,0,11041,25454,0,0,1391526,0,0,0,0,0,0,0,131052,2028077,32372,0,0,0,0,0,164400,4144202,0,0,3836494,5200,4230943,50190,2442621,-13266,124249
2020-02-20,265539,67,2347,-117,20112,0,11041,25419,5,0,1385784,0,0,0,0,0,0,0,131052,2029678,19217,0,0,0,0,5,163900,4133260,0,0,3839819,5200,4219781,50169,2451688,-13499,123866
2020-02-27,280541,44,2347,-591,20275,0,11041,25385,13,0,1371843,0,0,0,0,0,0,0,131052,2037082,18705,0,0,0,0,13,143440,4119718,0,0,3848250,5200,4206417,50183,2474060,-13447,123303
2020-01-02,169525,3728,2347,-643,20792,0,11041,25474,42,0,1408677,0,0,0,0,0,0,0,127384,2006550,24219,0,0,0,0,32,255619,4134215,10,0,3739957,5200,4221387,50138,2328933,-13284,124577
2020-01-09,184527,3728,2347,-124,20632,0,11041,25453,2,0,1408677,0,0,0,0,0,0,0,127384,2010350,26691,0,0,0,0,0,210587,4110819,2,0,3758738,5200,4197813,50120,2347714,-13278,124474
2020-01-16,195029,59,2347,-60,20607,0,11041,25485,9,0,1404318,0,0,0,0,0,0,0,128005,2014116,27177,0,0,0,0,9,229468,4137142,0,0,3769300,5200,4224124,50134,2362635,-13221,124410
2020-01-23,210031,54,2347,-158,20526,0,11041,25467,0,0,1398642,0,0,0,0,0,0,0,128005,2017518,28480,0,0,0,0,0,186076,4107163,0,0,3782010,5200,4194078,50148,2381020,-13272,123974
2020-01-30,232534,51,2347,-675,20499,0,11041,25448,34,0,1387288,0,0,0,0,0,0,0,128005,2023121,28899,0,0,0,0,34,175125,4112398,0,0,3798743,5200,4199300,50162,2409108,-13306,123527
2019-12-05,114017,47,2347,-455,20604,0,11041,25060,9,0,1423725,0,0,0,0,0,0,0,124372,1996404,20784,0,0,0,0,1,208007,4026728,8,0,3685925,5200,4113692,50120,2259853,-13131,125541
2019-12-12,132020,69,2347,-210,20636,0,11041,25247,18,0,1423725,0,0,0,0,0,0,0,125973,1998956,23025,0,0,0,0,10,212957,4056695,8,0,3708268,5200,4143668,50096,2282196,-13143,125711
2019-12-19,147022,79,2347,-94,20587,0,11041,25325,48,0,1422436,0,0,0,0,0,0,0,125973,2002358,24090,0,0,0,0,39,236662,4098408,10,0,3725461,5200,4185346,50110,2300678,-13237,125398
2019-12-26,169525,3729,2347,-64,20571,0,11041,25403,13,0,1419980,0,0,0,0,0,0,0,125973,2007961,25353,0,0,0,0,1,234969,4126954,12,0,3751189,5200,4213891,50124,2328862,-13316,125080
2019-11-07,66010,46,2347,-122,20607,0,11041,24542,22,0,1445776,0,0,0,0,0,0,0,122771,1980995,29357,0,0,0,0,2,215160,4000728,20,0,3642441,5200,4087640,50064,2194318,-12781,126604
2019-11-14,69011,41,2347,-150,20531,0,11041,24950,37,0,1450089,0,0,0,0,0,0,0,124372,1983196,31577,0,0,0,0,16,209609,4009202,21,0,3653964,5200,4096052,50078,2201529,-12731,126854
2019-11-21,84013,48,2347,-71,20607,0,11041,24977,26,0,1437197,0,0,0,0,0,0,0,124372,1986999,19334,0,0,0,0,7,199159,3991619,19,0,3659904,5200,4078559,50092,2220361,-12993,126210
2019-11-29,106516,47,2347,-821,20493,0,11041,25008,40,0,1423724,0,0,0,0,0,0,0,124372,1992602,20015,0,0,0,0,20,207243,4013621,20,0,3674569,5200,4100461,50106,2248498,-13108,125635
2019-10-03,6002,973,2347,-437,20699,0,11041,24372,114,0,1467260,0,0,0,0,0,0,0,119392,1967364,23762,0,0,0,0,31,181050,3906708,82,0,3586738,5200,3993729,50081,2117130,-12646,127155
2019-10-10,6002,39,2347,-90,20619,0,11041,24524,72,0,1467273,0,0,0,0,0,0,0,120993,1969966,26021,0,0,0,0,1,178650,3911257,71,0,3591105,5200,3998156,50039,2121485,-12553,128013
2019-10-17,6002,43,2347,-140,20622,0,11041,24523,60,0,1463137,0,0,0,0,0,0,0,120993,1971567,26385,0,0,0,0,0,197700,3927709,60,0,3588569,5200,4014624,50053,2123085,-12526,127617
2019-10-24,28505,43,2347,-127,20673,0,11041,24521,54,0,1457914,0,0,0,0,0,0,0,120993,1975169,27753,0,0,0,0,5,178204,3929933,50,0,3609449,5200,4016914,50067,2149188,-12633,127189
2019-10-31,51008,41,2347,-1102,20660,0,11041,24519,68,0,1445762,0,0,0,0,0,0,0,120993,1978971,28086,0,0,0,0,28,215500,3980095,39,0,3623600,5200,4067077,50081,2175491,-12750,126652
2019-09-05,3001,872,2347,-513,20767,0,11041,23816,93,0,1489605,0,0,0,0,0,0,0,116545,1951802,20007,0,0,0,0,1,0,3722202,92,0,3587116,5200,3809235,50025,2095164,-12957,127584
2019-09-12,3001,40,2347,-141,20623,0,11041,24219,83,0,1489605,0,0,0,0,0,0,0,118146,1955803,22246,0,0,0,0,2,0,3730920,81,0,3593121,5200,3817823,50039,2101169,-12739,128311
2019-09-19,6002,39,2347,-120,20652,0,11041,24274,87,0,1484434,0,0,0,0,0,0,0,118146,1957404,23142,0,0,0,0,4,75000,3805937,83,0,3592607,5200,3892883,50053,2105826,-12746,127927
2019-09-26,6002,42,2347,-83,20562,0,11041,24330,96,0,1467257,0,0,0,0,0,0,0,118146,1959205,22295,0,0,0,0,4,105000,3819084,92,0,3577287,5200,3905954,50067,2107683,-12714,127161
2019-08-01,2,11,2347,-818,20715,0,11041,23757,132,0,1511775,0,0,0,0,0,0,0,116545,1940396,28942,0,0,0,0,6,0,3739581,126,0,3594822,5200,3826557,50020,2080700,-12764,129256
2019-08-08,0,30,2347,-164,21054,0,11041,23763,102,0,1511777,0,0,0,0,0,0,0,116545,1940396,31185,0,0,0,0,3,0,3742331,99,0,3594828,5200,3829626,50000,2080704,-12735,129085
2019-08-15,0,45,2347,-175,20940,0,11041,23769,100,0,1514174,0,0,0,0,0,0,0,116545,1940396,33509,0,0,0,0,0,0,3746892,100,0,3597231,5200,3834087,50014,2080710,-12706,128888
2019-08-22,3001,43,2347,-154,20829,0,11041,23775,179,0,1500670,0,0,0,0,0,0,0,116545,1945599,18667,0,0,0,0,75,0,3725869,104,0,3591937,5200,3812967,50028,2088920,-13046,128243
2019-08-29,3001,69,2347,-319,20868,0,11041,23782,110,0,1489605,0,0,0,0,0,0,0,116545,1951802,18927,0,0,0,0,5,0,3720751,106,0,3587082,5200,3807903,50042,2095130,-12923,127805
2019-07-05,5,17,2347,-486,20917,0,11041,23601,105,0,1532726,0,0,0,0,0,0,0,116516,1955270,25796,0,0,0,0,8,0,3773783,97,0,3630466,5200,3860965,50023,2095393,-12874,130759
2019-07-11,2,43,2347,-181,20853,0,11041,23659,117,0,1532726,0,0,0,0,0,0,0,116516,1955270,27742,0,0,0,0,10,0,3776008,106,0,3630521,5200,3863140,50037,2095448,-12850,130617
2019-07-18,2,38,2347,-148,20849,0,11041,23622,120,0,1527093,0,0,0,0,0,0,0,115989,1954371,28267,0,0,0,0,6,0,3769117,115,0,3623424,5200,3856198,49992,2093984,-12807,130223
