Date,Atlanta,Boston,Chicago,Cleveland,Dallas,Kansas,Minneapolis,New York,Philadelphia,Richmond,St. Louis,Total,San Francisco
2018-01-25,266623,83455,229583,118614,170829,67639,35216,2550029,107815,249702,56779,4441317,505034
2017-12-07,275315,87017,238434,135839,184169,71043,37758,2424318,111936,264137,58936,4437148,548247
2017-12-14,282530,85585,234852,138926,186582,72103,38310,2407502,113500,275201,59659,4452726,557977
2017-12-21,277876,92109,232803,130075,179993,70426,37444,2431505,112000,280741,58931,4447470,543567
2017-12-28,280099,85519,230293,131012,178217,70327,37780,2432638,113320,290187,59543,4448680,539744
2017-11-02,267638,84893,242238,126710,186606,69570,37717,2449625,116625,263545,59479,4455887,551240
2017-11-09,264624,80739,238311,125466,183668,70056,37841,2467467,115783,265383,59677,4458552,549537
2017-11-16,264456,86984,239913,131998,186709,69434,37508,2432837,116012,270343,59260,4448289,552836
2017-11-24,265566,84745,237423,127019,181652,70597,37887,2470683,117598,268687,58364,4450615,530392
2017-11-30,268724,82904,239820,133229,178186,67006,38688,2472928,111550,267786,57797,4438592,519975
2017-10-05,273325,77658,235320,130362,188269,70670,38009,2434508,117990,266497,59337,4460422,568479
2017-10-12,266215,79616,235189,131249,185924,71073,37500,2449083,115752,257928,59300,4459415,570586
2017-10-19,264873,78296,232691,122155,183875,69828,36841,2510155,116869,253794,58597,4469723,541749
2017-10-26,263839,78355,239621,121324,182765,70419,36743,2515640,115696,252674,58493,4461117,525548
2017-09-07,265180,84707,232540,129267,186626,71541,38284,2427525,113603,261364,60286,4453474,582550
2017-09-14,268108,85280,240466,127882,183475,70006,37274,2447075,110610,262615,59407,4471174,578975
2017-09-21,267469,88037,243743,123424,179212,67662,37380,2464416,110366,264266,58659,4458576,553943
2017-09-28,270734,77722,235811,128667,183475,69090,38042,2442417,112583,277788,58936,4455661,560396
2017-08-03,259836,77869,234442,128382,184987,70066,37046,2471761,111367,258287,59613,4466846,573190
2017-08-10,259571,80098,231257,132133,181390,70265,37122,2475401,109303,256857,58993,4469083,576693
2017-08-17,263653,79191,227180,126005,181814,69613,36948,2468025,113370,252929,58770,4462871,585373
2017-08-24,263294,83374,233439,128842,181481,70129,37608,2477080,115044,253451,59088,4463837,561007
2017-08-31,260534,83285,235741,127182,179311,69193,38804,2474396,113336,255568,58966,4452360,556043
2017-07-06,266416,87387,240621,134520,187027,71584,38408,2399380,113269,281951,62619,4467272,584090
2017-07-13,261891,83062,237364,131086,182025,71557,37664,2459333,111991,262284,61088,4466702,567357
2017-07-20,257079,83162,234733,125268,182901,68592,37084,2508098,111965,258631,59492,4476903,549897
2017-07-27,256839,80213,238673,124659,179112,69368,36821,2502937,109203,260227,58596,4465284,548637
2017-06-01,269189,92015,234743,131762,186797,70355,38383,2430302,113953,266097,60930,4459914,565388
2017-06-08,261702,89417,241864,130604,185560,70558,37072,2425262,112098,274617,60932,4462443,572757
2017-06-15,260036,86180,228384,133478,184134,70626,37962,2440753,110001,290878,60788,4476269,573050
2017-06-22,256345,90852,229141,126803,183922,70507,37123,2482150,113531,269321,60012,4474257,554550
2017-06-29,263290,88898,230417,133602,183505,69730,38125,2439707,114359,274820,61015,4463347,565879
2017-05-04,265248,82497,235132,126678,188967,70134,36930,2454869,118999,259005,61051,4471246,571735
2017-05-11,262750,82187,233365,132304,186677,70237,36947,2467568,116748,252980,60503,4473459,571194
2017-05-18,259881,86437,232357,120695,186317,70253,36588,2476802,114818,253644,60574,4467108,568740
2017-05-25,261900,94027,237068,127602,183236,71348,36955,2461992,114673,258333,59739,4470852,563980
2017-04-06,272340,96375,237446,134303,194444,70880,37471,2357485,123788,280183,64628,4474634,605289
2017-04-13,267279,87834,234354,134940,190598,70372,37207,2390686,121704,281862,63665,4484492,603992
2017-04-20,260564,89842,234154,121669,188329,68469,36745,2470307,118407,255514,61255,4479270,574013
2017-04-27,257443,85130,233916,119045,181070,68190,36265,2506970,115705,255694,59674,4470142,551040
2017-03-02,271978,98504,208858,133594,189895,70054,37074,2394823,125309,276986,63171,4458018,587770
2017-03-09,278844,92893,210776,138905,190554,70563,37717,2392588,124593,272244,64613,4459840,585550
2017-03-16,280126,98921,218912,148203,193331,71146,37860,2345590,128273,285330,65866,4469577,596019
2017-03-23,275984,103584,230979,130390,191968,71887,37892,2376460,128859,276736,63585,4478236,589911
2017-03-30,276429,106062,239406,129247,192551,70368,38398,2354130,128019,279765,63991,4469618,591252
2017-02-02,263139,84647,191786,122692,177551,65751,35482,2541975,115206,266295,60833,4453881,528525
2017-02-09,262832,85686,188744,127273,178228,66508,35247,2534756,117788,260333,61746,4456236,537097
2017-02-16,263087,90892,186752,124378,180740,67257,35415,2502906,119088,263846,61475,4454676,558839
2017-02-23,265118,85731,200279,125701,180673,68285,36413,2509328,120732,253761,62315,4468702,560367
2017-01-05,271030,88206,195970,131527,181718,66669,36986,2474556,113965,269929,60506,4453101,562039
2017-01-12,263658,86054,192622,125706,177177,65342,35727,2526143,113205,262411,60167,4452509,544296
2017-01-19,260302,92211,186830,120481,175772,64875,34823,2570194,112782,247122,58195,4460758,537170
2017-01-26,256372,85402,185246,120150,171847,64834,34700,2579446,113312,261659,60369,4452838,519501
2016-12-01,266631,88212,185753,125775,177441,63225,37154,2509830,111220,261574,60555,4446307,558937
2016-12-08,266339,86969,197325,126266,180995,63993,36333,2490183,111436,262394,60532,4448618,565853
2016-12-15,267640,95258,191736,136062,180763,64647,37055,2473329,109387,272853,60322,4470973,581920
2016-12-22,273236,85905,194917,132763,179559,66604,36677,2489556,115651,267065,60382,4469089,566773
2016-12-29,272815,95789,195203,135069,180089,66558,37038,2460914,112256,274376,59923,4451451,561420
2016-11-03,261996,90795,181459,131636,182301,63503,35901,2504394,112533,267744,60804,4453087,560021
2016-11-10,259780,91019,179980,129287,180673,64289,36424,2503476,114356,266445,60865,4455087,568493
2016-11-17,261293,93397,183560,128376,180763,64554,35767,2484006,114365,268263,60687,4453633,578601
2016-11-25,260878,80999,184880,125731,175608,64025,35902,2569687,112253,249337,59774,4465782,546708
2016-10-06,269714,93567,180351,133279,185235,63113,35277,2479571,113487,256003,62486,4459407,587325
2016-10-13,264624,91435,177686,132759,182422,62738,35158,2499105,110849,261272,62349,4457698,577301
2016-10-20,261021,89261,182098,126433,180974,61979,35238,2551753,111214,250630,61307,4467382,555475
2016-10-27,259464,88594,179612,122306,177047,62376,34865,2565145,109141,260789,59327,4454326,535659
2016-09-01,262540,87373,180750,133393,172997,62239,35186,2500166,111453,278253,58116,4457907,575441
2016-09-08,259410,96517,184682,136948,172566,63526,33778,2461286,116133,277073,58182,4459394,599292
2016-09-15,257980,90010,173474,133867,172811,61598,33838,2540206,115975,267139,57098,4481635,577638
2016-09-22,259302,87317,174537,125657,172331,62021,33354,2576123,119756,250385,56792,4473032,555459
2016-09-29,268082,92922,180520,131331,177689,63274,34763,2505112,112653,261774,58083,4452002,565798
2016-08-04,259824,91228,182021,137137,175249,62165,33536,2497978,103762,265032,57780,4466793,601081
2016-08-11,258490,88624,176510,136627,173662,61806,33520,2509400,104392,266450,58048,4468929,601398
2016-08-18,258122,92566,177539,134367,174200,61459,33337,2510054,105663,258753,58057,4466476,602360
2016-08-25,254638,84440,177604,130206,169109,61559,33420,2570183,105208,256869,56730,4473840,573874
2016-07-07,260497,85640,181595,131351,172848,63101,33351,2506549,122679,268613,57975,4470605,586406
2016-07-14,257820,80504,177149,131492,170466,60470,33083,2561932,98615,260643,57554,4472202,582475
2016-07-21,257519,82887,182960,126352,170329,61236,33120,2578109,102159,249578,57206,4480973,579518
2016-07-28,256627,88136,178323,130338,167060,61542,33483,2553843,102361,254973,56843,4464498,580969
2016-06-02,261384,83456,180334,128950,172452,61136,32672,2528752,120998,264455,57777,4461393,569027
2016-06-09,258037,90227,183198,130258,170818,60482,32118,2513369,120580,265923,57887,4463542,580643
2016-06-16,256708,89348,176649,129050,171244,60335,31855,2551376,119823,259886,57183,4472817,569361
2016-06-23,255742,90888,180290,124704,166867,60239,32137,2573695,120271,262041,56838,4482009,558298
2016-06-30,260268,89670,176094,125743,168256,61353,34821,2540972,122141,259014,57660,4466482,570490
2016-05-05,265496,81989,182338,128476,169748,59541,32868,2566281,120440,255289,57204,4477270,557599
2016-05-12,262631,80259,178651,128469,167286,59471,32605,2563134,120184,257223,57067,4478411,571433
2016-05-19,258989,84166,181343,124178,170460,59151,32255,2583061,120713,247059,57043,4473741,555323
2016-05-26,257989,88327,192832,123444,167382,60527,31969,2568004,120550,249260,57117,4461111,543713
2016-04-07,263765,80243,182339,134830,174396,62724,34195,2468550,124918,291977,60367,4484069,605763
2016-04-14,268371,85560,177986,135969,174100,61701,33739,2487243,122452,281962,58869,4499729,611777
2016-04-21,260588,83142,185743,121226,168987,60601,32986,2594681,122653,254384,57826,4490131,547314
2016-04-28,257309,87955,180086,122236,164367,58299,33076,2610415,118962,245193,56506,4474665,540262
2016-03-03,266500,90973,169258,126866,171266,63795,34064,2507412,128603,270552,61081,4478485,588114
